Tiempo (s),aceX (m/s^2),aceY (m/s^2)
0.0,1.7856027167948936,0.4673999624633283
0.0346,1.708728724387767,0.7690063423540547
0.0692,1.1273749485118274,-0.16605482095373403
0.1038,6.181710329355322,-1.8090160384784553
0.1384,37.07038134783483,1.3252192787253056
0.173,65.97485794505272,5.694244200206093
0.2076,42.30706132280017,2.3742000762480555
0.2422,8.036727571333255,-2.9614847587207254
0.2768,10.217219693704706,-7.334293048234964
0.3114,14.925679536295528,-10.852262463872766
0.346,-2.0967897950933656,-6.511183115469624
0.3806,-25.761056334301045,1.2761576502539824
0.4152,-41.17730219168385,3.8505334206319026
0.4498,-47.32213977376637,3.2003995964276752
0.4844,-48.89478565254224,1.4167032876244976
0.519,-42.80096195109714,0.017573940291582546
0.5536,-32.54825788709047,1.8668857441779088
0.5882,-22.89424550700977,3.0786209083502056
0.6228,-9.064258067008645,-1.849174149001616
0.6574,1.831447258838243,-6.259631559338796
0.692,0.6398555928067724,-1.8792186021892234
0.7266,-6.162233080856326,4.787453353144045
0.7612,6.762918211446869,7.243996542141865
0.7958,22.409751295840053,-3.1246996064514176
0.8304,-227.32052874256848,-30.509966319704027
0.865,-747.5726916495346,-32.413988292800816
0.8996,-414.32336257491403,1.2993037993667897
0.9342,1017.6659752454094,21.26928864587172
0.9688,1171.954526930146,35.715278254572944
1.0034,-536.2346530470925,36.516952714357686
1.0381,-953.6224939954591,-8.12671776269564
1.0727,529.3945013144689,-29.810255686506842
1.1073,774.4685873815541,4.821740653426513
1.1419,-527.5867110335039,21.300298272342317
1.1765,-614.9602909481814,-10.918761426549768
1.2111,500.03767056323255,-26.35854301748409
1.2457,469.8687365436744,11.185142565268947
1.2803,-444.9376779847082,24.57661252562053
1.3149,-347.38568881411373,-19.352319043089373
1.3495,284.17742588122593,-28.40014009718833
1.3841,160.11466089047468,15.348366704194595
1.4187,-85.07049957196864,17.42662917146095
1.4533,88.51442085624801,-17.47202979179627
1.4879,39.13126116411722,-4.934025215470886
1.5225,-170.636296714399,26.314913312417524
1.5571,-56.791174578664524,11.525088950751194
1.5917,96.42162843664892,-13.525974077778304
1.6263,29.426076855198033,-9.873888017722635
1.6609,-32.739345299826454,-0.09042396431987787
1.6955,-7.636030516363023,0.5354316168704192
1.7301,-2.62782563264372,0.5086623302748885
1.7647,4.087889189309237,-1.123227151916307
