Tiempo (s),PosX (cm),PosY (cm)
0.0000,7.3281,3.0855
0.0352,7.3281,3.0855
0.0704,7.3281,3.0855
0.1056,7.3281,3.0855
0.1408,7.3281,3.0855
0.1760,7.3281,3.0855
0.2112,7.3281,3.0855
0.2464,7.3281,3.0855
0.2816,7.3281,3.0855
0.3168,7.3281,3.0718
0.3520,7.3281,3.0855
0.3872,7.3281,3.0855
0.4224,7.3281,3.0855
0.4576,7.3281,3.0718
0.4928,7.3281,3.0855
0.5280,7.3281,3.0855
0.5632,7.3281,3.0855
0.5984,7.3281,3.0855
0.6336,7.3281,3.0855
0.6688,7.3281,3.0855
0.7040,7.3281,3.0855
0.7392,7.3281,3.0855
0.7744,7.3281,3.0855
0.8096,7.3281,3.0855
0.8448,7.3281,3.0855
0.8800,7.3281,3.0855
0.9152,7.3419,3.0855
0.9504,7.3419,3.0855
0.9856,7.3419,3.0855
1.0208,7.3419,3.0855
1.0560,7.3419,3.0855
1.0912,7.3419,3.0718
1.1264,7.3419,3.0718
1.1616,7.3419,3.0718
1.1968,7.3419,3.0718
1.2320,7.3419,3.0718
1.2672,7.3419,3.0855
1.3024,7.3419,3.0718
1.3376,7.3419,3.0718
1.3728,7.3419,3.0718
1.4080,7.3419,3.0718
1.4432,7.3419,3.0718
1.4784,7.3419,3.0718
1.5136,7.3419,3.0718
1.5488,7.3419,3.0718
1.5840,7.3419,3.0718
1.6192,7.3419,3.0718
1.6544,7.3419,3.0718
1.6896,7.3419,3.0718
1.7248,7.3419,3.0718
1.7600,7.3419,3.0718
1.7952,7.3419,3.0718
1.8304,7.3419,3.0718
1.8656,7.3419,3.0718
1.9008,7.3419,3.0718
1.9360,7.3419,3.0718
1.9712,7.3419,3.0718
2.0064,7.3419,3.0718
2.0416,7.3419,3.0718
2.0768,7.3419,3.0718
2.1120,7.3419,3.0718
2.1472,7.3419,3.0855
2.1824,7.3419,3.0855
2.2176,7.3419,3.0855
2.2528,7.3419,3.0855
2.2880,7.3419,3.0855
2.3232,7.3419,3.0855
2.3584,7.3419,3.0855
2.3936,7.4246,3.0993
2.4288,7.4246,3.0993
2.4640,7.5348,3.0718
2.4992,7.5348,3.0718
2.5344,7.7138,3.0580
2.5696,7.8102,3.0442
2.6048,7.9204,3.0442
2.6400,8.0444,3.0580
2.6752,8.1822,3.0718
2.7104,8.3337,3.0442
2.7456,8.4990,3.0580
2.7808,8.8158,3.0718
2.8160,8.9811,3.0718
2.8512,9.1326,3.0580
2.8864,9.2566,3.0580
2.9216,9.4081,3.0304
2.9568,9.5183,3.0580
2.9920,9.6285,3.0304
3.0272,9.7112,3.0442
3.0624,9.7525,3.0304
3.0976,9.7938,3.0442
3.1328,9.8214,3.0442
3.1680,9.8489,3.0442
3.2032,9.8627,3.0304
3.2384,9.8627,3.0442
3.2736,9.8765,3.0304
3.3088,9.8765,3.0442
3.3440,9.8627,3.0442
3.3792,9.8489,3.0580
3.4144,9.8489,3.0718
3.4496,9.8076,3.0855
3.4848,9.3530,3.0304
3.5200,7.1491,2.8238
3.5552,5.5099,2.9340
3.5904,7.6312,2.8238
3.6256,8.8296,2.9065
3.6608,6.8873,3.0029
3.6960,6.0195,2.9616
3.7312,7.7689,2.9616
3.7664,8.3199,3.0304
3.8016,6.8598,3.0718
3.8368,6.5154,3.0580
3.8720,7.8102,3.0029
3.9072,7.9342,3.0304
3.9424,6.9562,3.0442
3.9776,6.9975,3.0167
4.0128,7.6587,2.9753
4.0480,7.1491,3.0029
4.0832,7.3144,3.0167
4.1183,7.5485,2.9753
4.1535,7.4383,3.0029
4.1887,7.3557,2.9891
4.2239,7.4246,3.0029
4.2591,7.3695,3.0167
4.2943,7.3970,3.0167
4.3295,7.3970,3.0167
4.3647,7.3832,3.0167
4.3999,7.3970,3.0029
4.4351,7.3832,3.0304
4.4703,7.3970,3.0167
4.5055,7.3832,3.0304
4.5407,7.3832,3.0304
