Tiempo (s),PosX (cm),PosY (cm)
0.0000,8.2585,3.2702
0.0346,8.3037,3.2702
0.0692,8.3790,3.2853
0.1038,8.4393,3.3004
0.1384,8.5297,3.3004
0.1730,8.6503,3.3154
0.2076,8.9818,3.3456
0.2422,9.2079,3.3607
0.2768,9.4792,3.3757
0.3114,9.7806,3.3908
0.3460,10.0820,3.3607
0.3806,10.3834,3.3607
0.4152,10.6245,3.3456
0.4498,10.8053,3.3456
0.4844,10.9560,3.3456
0.5190,11.0013,3.3456
0.5536,11.0465,3.3456
0.5882,11.0314,3.3456
0.6228,11.0013,3.3607
0.6574,10.9711,3.3607
0.6920,10.9560,3.3456
0.7266,10.9259,3.3456
0.7612,10.8958,3.3456
0.7958,10.8506,3.3607
0.8304,10.8204,3.3607
0.8650,10.7149,3.3456
0.8996,9.0271,3.1346
0.9342,5.8925,3.2401
0.9688,7.3543,3.0593
1.0034,10.1573,3.1647
1.0381,8.3188,3.2401
1.0727,6.4048,3.2250
1.1073,7.8817,3.1949
1.1419,9.6600,3.2250
1.1765,7.9872,3.2702
1.2111,6.8569,3.3004
1.2457,8.1982,3.1798
1.2803,9.1627,3.2702
1.3149,7.8064,3.3004
1.3495,7.3392,3.2853
1.3841,8.3489,3.1798
1.4187,7.8516,3.2552
1.4533,7.7310,3.2702
1.4879,8.3338,3.1949
1.5225,8.3790,3.1949
1.5571,7.9571,3.2552
1.5917,8.0475,3.2702
1.6263,8.1681,3.2552
1.6609,8.1078,3.2702
1.6955,8.1228,3.2552
1.7301,8.1228,3.2702
1.7647,8.1228,3.2552
