Tiempo (s),PosX (cm),PosY (cm)
0.0000,7.7521,3.1268
0.0350,7.7665,3.1124
0.0700,7.7665,3.1268
0.1050,7.7665,3.1268
0.1400,7.7521,3.1412
0.1749,7.7665,3.1268
0.2099,7.7521,3.1412
0.2449,7.7665,3.1412
0.2799,7.8818,3.1988
0.3149,7.9683,3.1844
0.3499,8.1124,3.1988
0.3849,8.2564,3.2277
0.4199,8.4005,3.1844
0.4548,8.6455,3.2421
0.4898,8.8472,3.2565
0.5248,9.0778,3.2277
0.5598,9.3804,3.2421
0.5948,9.6541,3.2277
0.6298,9.9135,3.2421
0.6648,10.1440,3.2421
0.6998,10.3890,3.2277
0.7348,10.6772,3.2421
0.7697,10.7492,3.2709
0.8047,10.7348,3.2709
0.8397,10.6772,3.2853
0.8747,10.6484,3.2853
0.9097,10.6051,3.2853
0.9447,10.5619,3.2853
0.9797,10.5475,3.2853
1.0147,10.5331,3.2853
1.0497,10.5331,3.2853
1.0846,10.5475,3.2853
1.1196,10.5475,3.2709
1.1546,10.5475,3.2853
1.1896,10.5475,3.2853
1.2246,10.5331,3.2853
1.2596,10.5331,3.2853
1.2946,10.5331,3.2853
1.3296,10.4755,3.2853
1.3645,10.2593,3.2421
1.3995,7.0028,2.9251
1.4345,5.2737,2.9971
1.4695,7.8818,3.0547
1.5045,9.1066,3.1844
1.5395,7.0605,3.3717
1.5745,6.1815,2.9827
1.6095,7.8386,3.3285
1.6445,8.3285,3.3573
1.6794,7.3775,3.4006
1.7144,6.9884,3.1556
1.7494,7.9971,3.2421
1.7844,8.0979,3.1268
1.8194,7.5792,3.2132
1.8544,7.5648,3.0547
1.8894,7.9683,3.1124
1.9244,7.8530,3.0980
1.9593,7.7954,3.1268
1.9943,7.7954,3.1700
2.0293,7.7954,3.1268
2.0643,7.7809,3.1268
2.0993,7.7809,3.1412
2.1343,7.7809,3.1412
2.1693,7.7809,3.1556
2.2043,7.7954,3.1412
2.2393,7.7809,3.1412
2.2742,7.7809,3.1268
2.3092,7.7809,3.1268
