Tiempo (s),PosX (cm),PosY (cm)
0.0000,7.4827,2.8801
0.0349,7.3449,2.8801
0.0699,7.3862,2.8801
0.1048,7.3862,2.8801
0.1397,7.3862,2.8801
0.1746,7.3862,2.8801
0.2096,7.3862,2.8801
0.2445,7.3862,2.8801
0.2794,7.3862,2.8801
0.3143,7.3862,2.8939
0.3493,7.3587,2.9076
0.3842,7.3587,2.8939
0.4191,7.3449,2.8939
0.4540,7.3587,2.8939
0.4890,7.3587,2.8939
0.5239,7.3587,2.8939
0.5588,7.3587,2.8801
0.5937,7.3449,2.9214
0.6287,7.2209,2.9076
0.6636,7.0555,2.9076
0.6985,6.8902,2.9214
0.7335,6.7248,2.9490
0.7684,6.5456,2.9628
0.8033,6.3665,2.9765
0.8382,6.2149,3.0041
0.8732,6.0633,3.0041
0.9081,5.8842,2.9765
0.9430,5.7326,2.9765
0.9779,5.5810,2.9765
1.0129,5.2779,2.9765
1.0478,5.1263,2.9765
1.0827,5.0023,2.9903
1.1176,4.9058,2.9903
1.1526,4.8369,2.9765
1.1875,4.8093,2.9765
1.2224,4.7955,2.9903
1.2573,4.8093,2.9765
1.2923,4.8369,2.9765
1.3272,4.8782,2.9765
1.3621,5.0298,2.9628
1.3971,5.9393,2.4529
1.4320,8.9296,3.0868
1.4669,7.7170,2.8387
1.5018,5.8291,2.9490
1.5368,6.8075,2.4529
1.5717,8.6678,2.9628
1.6066,7.2071,2.9903
1.6415,6.2976,2.9765
1.6765,7.4689,2.8939
1.7114,7.1106,2.9628
1.7463,6.7524,2.9352
1.7812,7.5792,2.8801
1.8162,7.8548,2.8801
1.8511,7.1382,2.9352
1.8860,7.1244,2.9214
1.9209,7.5929,2.8801
1.9559,7.5654,2.9076
1.9908,7.2760,2.9214
2.0257,7.3449,2.9214
