Tiempo (s),PosX (cm),PosY (cm)
0.0000,7.8560,3.1512
0.0349,7.8413,3.1512
0.0698,7.8267,3.1365
0.1047,7.8120,3.1658
0.1396,7.8120,3.1365
0.1745,7.7094,3.1365
0.2094,7.6215,3.1365
0.2443,7.5189,3.1512
0.2792,7.4163,3.1805
0.3141,7.3137,3.1805
0.3490,7.1818,3.1512
0.3838,7.0059,3.1658
0.4187,6.8007,3.1952
0.4536,6.5662,3.2098
0.4885,6.2144,3.2538
0.5234,6.0825,3.2538
0.5583,5.9653,3.2538
0.5932,5.8334,3.2538
0.6281,5.7015,3.2538
0.6630,5.5842,3.2538
0.6979,5.5109,3.2684
0.7328,5.4376,3.2684
0.7677,5.3937,3.2684
0.8026,5.3497,3.2831
0.8375,5.3350,3.2831
0.8724,5.3350,3.2978
0.9073,5.3497,3.2978
0.9422,5.3644,3.2978
0.9771,5.3644,3.2831
1.0120,5.3644,3.2831
1.0469,5.3644,3.2978
1.0817,5.3644,3.2978
1.1166,5.3644,3.2978
1.1515,5.3644,3.2978
1.1864,5.3644,3.2978
1.2213,5.3644,3.2978
1.2562,5.3790,3.2978
1.2911,5.3937,3.2978
1.3260,5.4083,3.2978
1.3609,5.4230,3.2978
1.3958,5.4376,3.2978
1.4307,5.4523,3.2978
1.4656,5.4670,3.2978
1.5005,5.4816,3.2978
1.5354,5.5696,3.2978
1.6052,9.5708,3.5176
1.6401,7.9879,3.2978
1.6750,6.4050,3.1952
1.7099,7.4896,2.9460
1.7448,9.0285,3.1072
1.7796,7.6068,3.0926
1.8145,7.0059,3.1072
1.8494,8.0465,2.9753
1.8843,8.6035,3.0486
1.9192,7.4310,3.0486
1.9541,7.4016,3.0339
1.9890,8.1491,2.9900
2.0239,8.2078,3.0193
2.0588,7.6068,3.0486
2.0937,7.6948,3.0339
2.1286,8.0465,3.0486
2.1635,7.9586,3.0633
2.1984,7.8120,3.0633
2.2333,7.8560,3.0633
2.2682,7.8560,3.0486
2.3031,7.8560,3.0633
2.3380,7.8560,3.0633
2.3729,7.8560,3.0633
