Tiempo (s),PosX (cm),PosY (cm)
0.0,8.256245,3.269445
0.0346,8.310464999999997,3.2724649999999995
0.0692,8.40820625,3.29379375
0.1038,8.480731250000002,3.30040625
0.1384,8.57493125,3.3060125
0.173,8.80945625,3.3304937500000005
0.2076,9.0986125,3.3541000000000003
0.2422,9.33884375,3.3682000000000003
0.2768,9.62801875,3.38606875
0.3114,9.9313,3.3766937500000003
0.346,10.23646875,3.3597625000000004
0.3806,10.5114875,3.3531500000000003
0.4152,10.72055,3.3446562500000003
0.4498,10.889118750000002,3.3456
0.4844,10.98524375,3.3456
0.519,11.027675,3.3456
0.5536,11.04365625,3.3446562500000003
0.5882,11.01729375,3.3531500000000003
0.6228,10.985262500000001,3.3625875
0.6574,10.96354375,3.3531500000000003
0.692,10.9418875,3.3446562500000003
0.7266,10.91179375,3.3446562500000003
0.7612,10.873206249999999,3.3531500000000003
0.7958,10.83926875,3.3625875
0.8304,10.87125,3.3663375
0.865,10.06031875,3.2325625000000002
0.8996,7.262950000000001,3.1854625
0.9342,6.2523,3.14970625
0.9688,8.96206875,3.0959874999999997
1.0034,9.5328625,3.20993125
1.0381,7.1545875,3.23914375
1.0727,6.91248125,3.2071250000000004
1.1073,8.967706249999999,3.20524375
1.1419,9.005387500000001,3.24759375
1.1765,7.2336687500000005,3.2956624999999997
1.2111,7.396625,3.2363375000000003
1.2457,8.84905,3.2155750000000003
1.2803,8.57403125,3.29189375
1.3149,7.424925,3.3013312499999996
1.3495,7.8459312500000005,3.2268937500000003
1.3841,8.170893750000001,3.20996875
1.4187,7.72254375,3.2721187499999997
1.4533,8.0220375,3.2334875
1.4879,8.42044375,3.1864250000000003
1.5225,8.165225,3.2241125
1.5571,7.96839375,3.2674062499999996
1.5917,8.11721875,3.2626999999999997
1.6263,8.144549999999999,3.2626999999999997
1.6609,8.111531249999999,3.2626999999999997
1.6955,8.1237375,3.2626999999999997
1.7301,8.125049999999995,3.261199999999997
1.7647,8.122049999999994,3.2581999999999964
