Tiempo (s),PosX (cm),PosY (cm)
0.0,7.471679999999997,2.8801000000000005
0.0349,7.377959999999996,2.8800999999999997
0.0699,7.388781249999999,2.8800999999999997
0.1048,7.386199999999999,2.8800999999999997
0.1397,7.386199999999999,2.8800999999999997
0.1746,7.386199999999999,2.8800999999999997
0.2096,7.386199999999999,2.8800999999999997
0.2445,7.386199999999999,2.8792375000000003
0.2794,7.387918749999999,2.88614375
0.3143,7.372450000000001,2.9024687499999997
0.3493,7.357843750000001,2.90160625
0.3842,7.350937500000001,2.89304375
0.4191,7.350937500000001,2.8939
0.454,7.359562500000001,2.8939
0.489,7.358700000000001,2.8947624999999997
0.5239,7.359562500000001,2.88441875
0.5588,7.3595500000000005,2.90075
0.5937,7.292375000000001,2.91708125
0.6287,7.140781250000001,2.905875
0.6636,6.972850000000001,2.912775
0.6985,6.8083687500000005,2.9352
0.7335,6.636056250000001,2.95676875
0.7684,6.454325000000001,2.9687875000000004
0.8033,6.288981250000001,2.9911562500000004
0.8382,6.14081875,3.00755
0.8732,5.97375,2.9903000000000004
0.9081,5.8066812500000005,2.974775
0.943,5.66626875,2.9765000000000006
0.9779,5.429450000000001,2.9765000000000006
1.0129,5.190906249999999,2.9756375000000004
1.0478,5.0608562500000005,2.9834000000000005
1.0827,4.95060625,2.992025
1.1176,4.867043750000001,2.9834000000000005
1.1526,4.81965625,2.974775
1.1875,4.7998125,2.9842625000000003
1.2224,4.7998125,2.9842625000000003
1.2573,4.82138125,2.9756375000000004
1.2923,4.8498,2.9773562500000006
1.3272,4.8997375000000005,3.0015187500000007
1.3621,5.30713125,2.6673750000000003
1.3971,7.56708125,2.7534875000000003
1.432,8.6281875,2.995475
1.4669,6.6361125,2.90935
1.5018,6.0840375,2.675975
1.5368,7.89009375,2.6751250000000004
1.5717,8.1105625,3.0092812500000004
1.6066,6.58785,2.9902812500000007
1.6415,6.848800000000001,2.93003125
1.6765,7.3853437500000005,2.9249125
1.7114,6.857431249999999,2.9567500000000004
1.7463,7.1261875,2.905925
1.7812,7.8134625,2.8732125
1.8162,7.514587500000001,2.9085125
1.8511,7.05723125,2.9343250000000003
1.886,7.35950625,2.89816875
1.9209,7.626518750000001,2.89040625
1.9559,7.414675,2.91621875
1.9908,7.369029999999996,2.9213849999999986
2.0257,7.313889999999995,2.921404999999998
