Tiempo (s),PosX (cm),PosY (cm)
0.0,7.752819999999998,3.124639999999999
0.035,7.764339999999998,3.118879999999998
0.07,7.7674,3.1268
0.105,7.7584,3.1349
0.14,7.7593000000000005,3.134
0.1749,7.7593000000000005,3.1330999999999998
0.2099,7.7511937500000005,3.1385000000000005
0.2449,7.81964375,3.1709
0.2799,7.923250000000001,3.1943
0.3149,8.03675625,3.18889375
0.3499,8.1844,3.21685625
0.3849,8.3221375,3.20425
0.4199,8.5194,3.2096437500000006
0.4548,8.747250000000001,3.25470625
0.4898,8.95619375,3.2420999999999998
0.5248,9.22640625,3.234
0.5598,9.51995,3.2349
0.5948,9.7865,3.234
0.6298,10.02965,3.2439
0.6648,10.26289375,3.234
0.6998,10.5439125,3.2322
0.7348,10.7321125,3.2574000000000005
0.7697,10.750100000000002,3.2718000000000007
0.8047,10.706900000000001,3.2781000000000002
0.8397,10.66190625,3.2862
0.8747,10.62765,3.2853
0.9097,10.58169375,3.2853
0.9447,10.5529,3.2853
0.9797,10.5394,3.2853
1.0147,10.5313,3.2853
1.0497,10.5403,3.2862
1.0846,10.5484,3.2772
1.1196,10.5475,3.2772
1.1546,10.5484,3.2862
1.1896,10.5403,3.2853
1.2246,10.5322,3.2853
1.2596,10.5367,3.2853
1.2946,10.517812500000002,3.2880000000000003
1.3296,10.567331249999999,3.2835125000000005
1.3645,8.725606249999998,3.0764000000000005
1.3995,5.7717125,2.9376875
1.4345,6.39313125,3.0222937500000002
1.4695,8.7850875,3.1114437500000003
1.5045,8.215037500000001,3.31046875
1.5395,6.38955,3.1672937500000002
1.5745,6.92449375,3.1294874999999998
1.6095,8.246556250000001,3.36180625
1.6445,7.907937500000001,3.3960625
1.6794,7.060468750000001,3.2754000000000003
1.7144,7.4621312500000005,3.19074375
1.7494,8.1429625,3.18445625
1.7844,7.84575,3.1727
1.8194,7.514362500000001,3.13574375
1.8544,7.772856250000001,3.07454375
1.8894,7.9394687500000005,3.10700625
1.9244,7.816993749999999,3.1087999999999996
1.9593,7.791799999999999,3.1529
1.9943,7.796306249999999,3.1511
2.0293,7.78815,3.1231999999999998
2.0643,7.779993749999999,3.134
2.0993,7.780899999999999,3.1412000000000004
2.1343,7.779993749999999,3.1493
2.1693,7.78905625,3.1493
2.2043,7.78905625,3.1412000000000004
2.2393,7.779993749999999,3.134
2.2742,7.778724999999993,3.131119999999997
2.3092,7.781624999999995,3.125359999999997
