Tiempo (s),PosX (cm),PosY (cm)
0.0,7.855989999999998,3.1541349999999992
0.0349,7.841329999999995,3.1423949999999983
0.0698,7.8184375,3.1520625
0.1047,7.817493750000001,3.15298125
0.1396,7.76619375,3.1346687499999994
0.1745,7.66545,3.1355812499999995
0.2094,7.571118750000001,3.1420187499999996
0.2443,7.467600000000001,3.1667687499999997
0.2792,7.366831250000001,3.1841625
0.3141,7.252331250000001,3.1649374999999997
0.349,7.09843125,3.15483125
0.3838,6.9069625,3.1805
0.4187,6.692612500000001,3.2015875
0.4536,6.3838875,3.2327125
0.4885,6.1337874999999995,3.25655
0.5234,6.023899999999999,3.2538
0.5583,5.90026875,3.2538
0.5932,5.7665375,3.2538
0.6281,5.6391875,3.2528875
0.663,5.5448,3.2611
0.6979,5.472412500000001,3.2693125000000003
0.7328,5.413818750000001,3.2674812500000003
0.7677,5.369875,3.2757500000000004
0.8026,5.339600000000001,3.2831
0.8375,5.3331625,3.29045
0.8724,5.34143125,3.29871875
0.9073,5.35796875,3.29871875
0.9422,5.36531875,3.29045
0.9771,5.364400000000001,3.2812625000000004
1.012,5.364400000000001,3.29045
1.0469,5.364400000000001,3.29871875
1.0817,5.364400000000001,3.2978
1.1166,5.364400000000001,3.2978
1.1515,5.364400000000001,3.2978
1.1864,5.363487500000001,3.2978
1.2213,5.37078125,3.2978
1.2562,5.38635,3.2978
1.2911,5.401,3.2978
1.326,5.415649999999999,3.2978
1.3609,5.430300000000001,3.2978
1.3958,5.44494375,3.2978
1.4307,5.45965625,3.2978
1.4656,5.46971875,3.2978
1.5005,5.2764375,3.2840625
1.5354,7.674631250000001,3.4214375
1.6052,9.12835625,3.4278500000000003
1.6401,7.029731249999999,3.2483375
1.675,6.752187500000001,3.0541125
1.7099,8.415693749999999,3.0119375
1.7448,8.4513875,3.1090625000000003
1.7796,7.152456249999999,3.10723125
1.8145,7.4538312499999995,3.03758125
1.8494,8.46331875,3.00370625
1.8843,8.0539,3.0541
1.9192,7.2963000000000005,3.0439937500000003
1.9541,7.7698437500000015,3.0092000000000003
1.989,8.262731250000002,3.0000750000000003
2.0239,7.905468750000001,3.0366999999999997
2.0588,7.591256249999999,3.0421625
2.0937,7.881643749999999,3.0394125
2.1286,8.03369375,3.05686875
2.1635,7.877056250000001,3.0642187499999998
2.1984,7.8248375,3.0642187499999998
2.2333,7.85875,3.05503125
2.2682,7.856,3.05503125
2.3031,7.856,3.0642187499999998
2.338,7.855999999999994,3.0655049999999986
2.3729,7.855999999999994,3.062564999999999
