Tiempo (s),PosX (cm),PosY (cm)
0.0,7.729059999999997,3.1556
0.0349,7.691619999999996,3.1699999999999995
0.0699,7.67829375,3.1943
0.1048,7.753950000000001,3.1844
0.1398,7.8700937500000006,3.1745
0.1747,8.02139375,3.1934
0.2097,8.192543749999999,3.1906999999999996
0.2446,8.56084375,3.1951937500000005
0.2796,8.9778125,3.2375499999999997
0.3145,9.238050000000001,3.25020625
0.3495,9.496493749999999,3.2556000000000003
0.3844,9.75050625,3.2718000000000007
0.4194,9.98105625,3.2781000000000002
0.4543,10.18995,3.2853
0.4893,10.378150000000002,3.2925000000000004
0.5242,10.53755,3.2997000000000005
0.5591,10.65915,3.3069
0.5941,10.75285625,3.3141
0.629,10.81770625,3.3222
0.664,10.8519,3.3213
0.6989,10.8735,3.3204
0.7339,10.8798,3.3285
0.7688,10.8798,3.3357
0.8038,10.8735,3.3438000000000003
0.8387,10.85280625,3.3420000000000005
0.8737,10.81225,3.351
0.9086,10.886100000000003,3.37891875
0.9436,9.50198125,3.1087437500000004
0.9785,6.06356875,2.96644375
1.0134,5.31158125,2.8583687500000003
1.0484,7.907018749999999,3.1699875000000004
1.0833,8.5095125,3.7445562500000005
1.1183,6.591337500000001,3.36454375
1.1532,5.807812500000001,3.16911875
1.1882,7.0857125,3.48880625
1.2231,8.14115625,3.626625
1.2581,7.49995625,3.4717000000000002
1.293,6.74801875,3.2663875000000004
1.328,7.39639375,3.25920625
1.3629,8.1105125,3.2024437500000005
1.3979,7.759306250000001,3.18175
1.4328,7.3819625,3.18625625
1.4678,7.62690625,3.1600875
1.5027,7.70975625,3.23935
1.5376,7.643143750000001,3.26730625
1.5726,7.67560625,3.2655000000000003
1.6075,7.672000000000001,3.2502000000000004
1.6425,7.681900000000001,3.2241
1.6774,7.672000000000001,3.234
1.7124,7.6729,3.2502000000000004
1.7473,7.6738,3.2565
1.7823,7.6639,3.2655000000000003
1.8172,7.6729,3.2574000000000005
1.8522,7.681000000000001,3.2412
1.8871,7.680100000000001,3.2331000000000003
1.9221,7.681000000000001,3.2403
1.957,7.672000000000001,3.2655000000000003
1.9919,7.672000000000001,3.2727000000000004
2.0269,7.681000000000001,3.2646
2.0618,7.681000000000001,3.2475000000000005
2.0968,7.672000000000001,3.2493
2.1317,7.6721799999999964,3.2478599999999984
2.1667,7.677939999999996,3.2449799999999973
