Tiempo (s),aceX (m/s^2),aceY (m/s^2)
0.0,-1.8569387755101956,1.3853571428572642
0.035,-1.8569387755101956,1.3853571428572642
0.07,-1.8569387755101956,1.3853571428572642
0.105,-5.4128735657356515,2.644471621266617
0.14,-1.556257207819347,-1.60981650170828
0.1749,0.3148439507826495,-2.92877339003178
0.2099,4.442649642624133,3.8155289285122733
0.2449,25.507629225241857,10.721492962796543
0.2799,36.78506900345992,3.533507461460891
0.3149,25.05509761576263,-6.710536508058075
0.3499,15.123007015305863,-3.4866868622448712
0.3849,13.388208898097968,-3.7447025953621025
0.4199,22.410936450760637,0.14736248576694183
0.4548,26.281638664341468,9.899214776144925
0.4898,14.510664006411009,-3.5656168343759878
0.5248,18.298502689701944,-13.505838333187212
0.5598,23.802254062837633,-1.4787398999298582
0.5948,2.542010634726301,4.743098627594795
0.6298,-16.904416454081627,1.859614158163257
0.6648,-8.303651147959311,-2.8813775510203823
0.6998,4.693463329537617,-0.345110361741176
0.7348,-29.90676538184995,8.879850223351239
0.7697,-88.37082151570014,5.620695984190329
0.8047,-86.0988969381098,-3.693674461809182
0.8397,-33.82159222997188,-4.223290925812424
0.8747,-1.5817015379109751,-2.8955340719977216
0.9097,1.6379327884589603,-2.4218161513532017
0.9447,4.089764030612362,-0.528061224489799
0.9797,9.845982142857345,0.18367346938776838
1.0147,10.082277251029044,0.19530086712797584
1.0497,8.645454352610011,-0.701421126390428
1.0846,4.8442109781294125,-2.30216329011662
1.1196,-1.5537710875396327,0.712588448593858
1.1546,-3.4939180607864513,4.181543969519055
1.1896,-3.341431637032437,0.7130649470088084
1.2246,-1.285742341464853,-2.3305213716387625
1.2596,0.3913424744900355,-0.36750637755094395
1.2946,26.80072012039852,3.0486634970512987
1.3296,-138.82735882711515,-20.492088278444392
1.3645,-753.8571299376025,-66.27099445753576
1.3995,-694.5229284779017,-25.369089045633974
1.4345,844.1591354084542,77.84570329607149
1.4695,1449.9839088867823,98.48628780911521
1.5045,-204.0074704707521,25.107847672330898
1.5395,-1085.4488201530605,-73.52686543367358
1.5745,170.864397321428,-42.14405293367335
1.6095,827.755380545461,76.86437964402522
1.6445,-124.488312955279,23.3692596338427
1.6794,-572.455176301281,-92.25182633317213
1.7144,124.90088616164127,-53.59619201228191
1.7494,395.9700163863823,26.509564387718534
1.7844,-124.27352474653961,27.458242665360093
1.8194,-272.8600162905829,-6.995854363741172
1.8544,88.88783482142854,-9.131138392857018
1.8894,147.52724817797218,17.56253946052664
1.9244,-64.95467753222552,23.417160607536903
1.9593,-76.66345971530329,8.79390772711272
1.9943,16.38770134654891,-7.960768735086706
2.0293,17.93579110828891,-16.223004551874343
2.0643,-1.955371740971182,-0.7982809808473348
2.0993,1.206653751897541,10.079853507926837
2.1343,3.5715082908164826,2.2729591836734517
2.1693,2.8204719387758024,-3.9375000000000733
2.2043,-0.8852547188403306,-5.220734431111468
2.2393,-4.456685000986375,-2.7014977664889446
2.2742,-2.2521234871540807,0.10587845998740757
2.3092,2.7382594277186323,1.1022753885946397
