Tiempo (s),aceX (m/s^2),aceY (m/s^2)
0.0,8.532319163104317,4.090047798357508e-14
0.0349,8.532319163104317,4.090047798357508e-14
0.0699,8.532319163104317,4.090047798357508e-14
0.1048,21.475948900622214,1.1020406567796639e-13
0.1397,7.108760049929743,4.5510082952115655e-14
0.1746,-1.6807841193132838,0.011048581477418381
0.2096,0.3809770165300915,-0.1767151094095622
0.2445,0.34122503084635336,0.2888623004183692
0.2794,-0.9817566890750061,3.369879863352702
0.3143,-5.176137002531769,4.207699999884848
0.3493,-4.6720160697067925,-2.6921533811209004
0.3842,1.795826871693785,-6.683833992929552
0.4191,6.057089436653837,-1.1780808653926478
0.454,4.982237861611977,2.6039927321441434
0.489,0.3982417909562359,-0.3996932187151258
0.5239,-1.1171262171740928,-1.2486757169462601
0.5588,-5.629947587911799,5.599573623839297
0.5937,-29.757269380987974,5.172108888206314
0.6287,-52.002389891992195,-5.211462928623195
0.6636,-39.147002600603955,-2.0772407545649596
0.6985,-11.64555540734697,8.78343875092279
0.7335,-2.825866621564997,5.858555284640016
0.7684,-3.968232241998388,-1.2991045848204001
0.8033,3.235828467160014,-0.10075699761815066
0.8382,8.746949664717729,-2.426362273019387
0.8732,0.7934924174614093,-12.206297389592814
0.9081,-1.3374967503775426,-9.724428080871903
0.943,-1.7844206944846177,3.2343369935404715
0.9779,-24.54593575743233,5.571414331200716
1.0129,-20.664216732296705,1.424887660151091
1.0478,27.988107115664928,2.5066054312373067
1.0827,45.65624981592595,1.5608891396692617
1.1176,28.133256140944464,-4.908577669503243
1.1526,23.58004392760035,-4.02983969217903
1.1875,24.852915261413138,3.7311012230468577
1.2224,20.527430384854082,2.1880157729811907
1.2573,16.14541447734737,-3.7716909774402145
1.2923,8.221389420096953,6.089072869342655
1.3272,19.49383014901381,-27.25491492418812
1.3621,308.11837820949256,-75.1934859466382
1.3971,668.4923254413939,40.68910129903716
1.432,-42.84329842105522,131.82729642506655
1.4669,-1156.3007329747036,-31.303426963985324
1.5018,-437.0470431206771,-133.25803454129675
1.5368,886.1061347114453,31.528840278791964
1.5717,246.23714613743988,148.77747044839543
1.6066,-759.7529299591943,12.325468254821985
1.6415,-120.54852702743507,-99.90136043381916
1.6765,444.0146199199046,-26.96131761559771
1.7114,-14.246689953204667,23.834369302907977
1.7463,-37.077034327861455,-9.01668581743122
1.7812,219.57442674242623,-12.682968161386595
1.8162,-127.8702866334957,20.730986990734337
1.8511,-285.12889732158897,16.244139864088545
1.886,109.48456684312555,-15.827210306837953
1.9209,194.74394993497617,-9.635448911768876
1.9559,-86.01488260982062,13.409093007763436
1.9908,-121.76861573772867,9.9083794968727
2.0257,5.913475459011182,-5.1913491204242055
