Tiempo (s),Aceleracion Normal (m/s^2),Aceleracion Tangencial (m/s^2)
0.0,1.4180302088909857,-1.5247369751062931
0.0349,1.4942365974223386,-1.4674972413320915
0.0698,2.260378384683845,-2.712378566104926
0.1047,1.4799902774228315,5.695475148066407
0.1396,2.585317023364559,24.560681501139793
0.1745,7.448455018587179,27.03484782084517
0.2094,7.41497877022076,12.000526696879177
0.2443,6.100958617254665,2.1678452174610707
0.2792,9.487409022776,3.2912834644495907
0.3141,6.622898681567715,13.459154068480958
0.349,7.025090229091918,24.67443777587627
0.3838,8.582530374498196,30.868593741399962
0.4187,2.55428170856492,38.7139509200239
0.4536,2.15870324656896,23.49545794164167
0.4885,6.897925638673831,-31.560155870986264
0.5234,7.857626692878084,-59.1686985215028
0.5583,2.477205080688707,-25.7853411420464
0.5932,0.7356867122617402,2.499056361638602
0.6281,3.375598231818519,-5.532392155109277
0.663,2.8924127741252734,-18.27376330140401
0.6979,0.8148180156063222,-18.629602183436845
0.7328,1.3897976442207254,-13.722039910882339
0.7677,3.7733875092273497,-11.559173251507767
0.8026,8.305956328537324,-13.211909520580896
0.8375,10.59405091406166,-11.3968555391343
0.8724,6.9314527628263,-3.036633960215333
0.9073,5.017624903150512,1.3068222762320392
0.9422,5.2701020952324065,-1.6685534444997643
0.9771,2.8538786033064456,-3.231152551289932
1.012,0.48220463933661445,-0.5670312528695607
1.0469,0.05843207920083536,-0.20601213517826855
1.0817,0.20895242365576086,-2.451770584273648
1.1166,0.13051001688951674,-1.6005524350550642
1.1515,0.06806659655233094,-0.11796548442386041
1.1864,0.08754120799997683,1.3467881109499225
1.2213,0.002580631986973391,4.373103564195773
1.2562,-0.0007837871242530432,4.604326280874615
1.2911,-0.0007344988647318875,1.6662611186099732
1.326,-0.012391087315965148,-0.12534654054024139
1.3609,0.07845605270706417,-0.22352086580037217
1.3958,1.0189434193672597,-1.261928906760237
1.4307,0.7489491328617344,12.278178544249597
1.4656,0.7653223288874438,99.02742976050976
1.5005,0.734704512259815,391.8425355439041
1.5354,17.72890132274462,302.0155416772922
1.6052,18.206355134144673,-75.34500073544825
1.6401,78.52095786745537,-128.22086250047823
1.675,120.16105026068573,-29.307874558210322
1.7099,162.12192168735078,-28.552847947306432
1.7448,113.50882656269789,-114.85175950612557
1.7796,69.34198571545384,-49.05295861185995
1.8145,81.04860743320472,-24.546191646141803
1.8494,12.108049074578801,-8.463521205577514
1.8843,9.258177961263037,-15.303780968342153
1.9192,16.20424011148764,-25.48510367080144
1.9541,19.30680738461284,-14.467437606404143
1.989,12.6692036122347,-34.942836499678776
2.0239,8.865090933814322,-35.23616276779113
2.0588,6.363016107151699,-35.61625705388181
2.0937,3.672930664990173,-24.08568598893881
2.1286,6.847110205537243,-31.41620143893357
2.1635,9.852266824656201,-26.571919515779754
2.1984,12.09062466044163,-26.50441765664246
2.2333,10.855185199302715,-25.472629579730842
2.2682,3.5986143403386546,-12.604206395132195
2.3031,6.859052293696414,-0.2576940907837737
2.338,5.922774981715454,1.6125721637677302
2.3729,0.6772497844168441,-2.813899064418038
