Tiempo (s),Aceleracion Normal (m/s^2),Aceleracion Tangencial (m/s^2)
0.0,0.31732691777626243,1.8393110505870238
0.0346,0.07403759537509458,1.8061809621723381
0.0692,1.4878437182082385,1.0925464191698333
0.1038,2.312429000086781,5.905433556054324
0.1384,0.9848432625628283,36.979861611246704
0.173,0.5731945000239106,66.21680467463904
0.2076,2.0772339325665725,42.35678055218157
0.2422,5.585187626536831,7.791607407081125
0.2768,9.67470829621092,9.929298666826908
0.3114,9.166166877893582,14.832828018962136
0.346,3.0659751257933454,-2.0210142439071417
0.3806,1.1587520496911463,-25.78487145130692
0.4152,3.0032953515337537,-41.27663971247995
0.4498,2.3125954746424013,-47.37355555551426
0.4844,0.67393095055637,-48.91004483014609
0.519,3.0266386903172524,-43.83311666173479
0.5536,5.780566087213661,-24.641587458623054
0.5882,4.001143060138599,0.4763163736073297
0.6228,5.147578934611918,6.248291181986911
0.6574,4.264438877493176,-1.2327331420857148
0.692,2.878629781185159,-0.5623632561886751
0.7266,5.926329180422636,5.367657932574602
0.7612,14.857672578390805,-2.432473313325328
0.7958,26.39491078982893,-16.763903159852365
0.8304,27.842285605110405,223.8133986255687
0.865,16.692786899070136,743.1772393011422
0.8996,35.740085254786564,331.5310508680713
0.9342,48.49537975039208,-300.95824139263334
0.9688,79.42433469914349,-140.5121310039334
1.0034,73.29956254539249,-53.049303415372236
1.0381,49.258766307901375,-82.3288577250147
1.0727,24.31339685880628,-81.43522494752463
1.1073,119.71477561818229,-60.82832819547517
1.1419,110.36049084465536,-67.11368545500953
1.1765,228.555416281615,-49.322135333938846
1.2111,226.70459476357036,-54.08165333317359
1.2457,73.39259424206091,-17.365747336158517
1.2803,92.60242060544304,-28.317275345974707
1.3149,96.34627863296964,-48.44569210064695
1.3495,107.45702888915173,-112.63913852836123
1.3841,2.843261556916363,-94.21783706965098
1.4187,2.245531007645244,9.651229237831286
1.4533,3.4660454463246286,19.78409912065881
1.4879,4.149681487898278,24.440159343065478
1.5225,3.498815850569826,-36.77090362466718
1.5571,14.708448069273574,-33.95191010682467
1.5917,19.59983598575079,-34.58221875176392
1.6263,3.2570717459601264,-30.504934739222623
1.6609,0.6035138301809136,-17.103984479164893
1.6955,2.04808690512322,-13.306199875083099
1.7301,2.342422064177729,-9.519699028867397
1.7647,2.6374880140011165,1.8409388529010826
