Tiempo (s),Aceleracion Normal (m/s^2),Aceleracion Tangencial (m/s^2)
0.0,5.067604479515449e-15,-8.532319163104317
0.0349,4.3499940884118064e-15,-8.532319163104317
0.0699,1.6739976485717807e-14,-8.532319163104317
0.1048,0.0006905363423055476,-18.053058407999057
0.1397,0.0172595214191641,-7.108760049929743
0.1746,0.273264349755891,-1.6789895022817427
0.2096,0.5865797944931505,-0.22491272405566715
0.2445,1.447374892405071,0.44475731615430214
0.2794,1.722753500030849,3.1686486127699314
0.3143,3.0541344460833955,6.105657524754016
0.3493,5.588305762745513,2.3538415509116315
0.3842,6.159048349506771,-2.867907211067218
0.4191,5.920858331004807,-4.9268240083247425
0.454,0.7991331078057563,-1.6908347961883972
0.489,1.1335965052542143,0.551365745104001
0.5239,0.18283595482715176,-0.8250060934617931
0.5588,6.56506747294272,5.3036935957219695
0.5937,6.654918775209479,28.023880635741943
0.6287,4.3725305775171295,50.2325748448212
0.6636,2.895740158976087,38.86077143460997
0.6985,7.751693983335046,12.115904664270472
0.7335,1.6336772064034937,3.251833525461138
0.7684,1.0703678015932296,3.8100557976964504
0.8033,0.2435787930106392,-3.225736874231257
0.8382,7.241734747819566,-8.914737788451532
0.8732,12.315808675034301,-1.1356052712002334
0.9081,3.2026423166716094,1.4109464435010144
0.943,5.659822713291819,1.659616984077741
0.9779,3.5197557718816346,24.324107594519383
1.0129,1.7802004186633842,20.658673783999003
1.0478,4.294035576769136,-27.92936880823913
1.0827,0.015059052480569688,-45.61060132172866
1.1176,6.970316233145503,-28.119522115705823
1.1526,2.4065583829027384,-23.526657335359843
1.1875,7.767332315521502,-24.791976125460565
1.2224,8.594079058925029,-19.751874040853792
1.2573,5.961670986324176,-0.9423523834354199
1.2923,2.897578576431359,10.21837898449593
1.3272,63.884811647406416,32.15815571104605
1.3621,91.7451470505069,313.49325630783284
1.3971,97.16739153557468,655.5898215027714
1.432,215.42479179113053,-43.078778961357855
1.4669,61.24560505300265,-236.30231671045274
1.5018,181.55556913185902,-103.41767612957527
1.5368,89.83954734989376,-32.51232691045019
1.5717,300.2366700953275,-62.76740032069673
1.6066,95.2039224051541,-94.65091952142726
1.6415,177.69118396889016,-72.06665359839864
1.6765,12.193753423340363,-220.2443903258182
1.7114,6.974684192032101,8.769371549244529
1.7463,3.0412332187372866,-36.13946089551431
1.7812,8.277136707708852,116.97703277118565
1.8162,18.21394309498072,-22.95069813359844
1.8511,6.049285455691537,-50.84390786474907
1.886,8.654782704323333,3.896166533896796
1.9209,5.092302468698382,-40.09862256760475
1.9559,12.808064980583932,-27.25500359204028
1.9908,7.813963885001719,-32.33313204865174
2.0257,5.525342656036351,-6.5314853259360115
