Tiempo (s),Aceleracion Normal (m/s^2),Aceleracion Tangencial (m/s^2)
0.0,1.400633216774049,-1.510427041662743
0.0349,1.5464275737731488,-1.510427041662743
0.0698,1.7949634497970393,-1.510427041662743
0.1047,2.4941806871844534,-1.7966257105337495
0.1396,0.8898155041187604,15.145009329573124
0.1745,4.981157833166582,30.518277243954614
0.2094,8.97950697455068,19.795300854046676
0.2443,5.580887467941729,5.119628418915784
0.2792,7.4227318257329475,1.707659062640749
0.3141,10.437728792446785,6.964763000584994
0.349,3.364713731259892,20.271634718922456
0.3838,10.832871982543692,28.07345531723099
0.4187,4.939098966314776,33.350042910775656
0.4536,1.2625388164951896,38.64234947073794
0.4885,4.1133607257072855,0.4348613960090274
0.5234,8.904744968404142,-57.58247217631969
0.5583,5.533602211726358,-48.008352557753604
0.5932,0.10973680941788806,-4.053107658623791
0.6281,2.2500249308747775,1.5947885016656034
0.663,3.9332660547197866,-14.101421641087741
0.6979,1.530310351836869,-19.988316114427004
0.7328,0.643558342130741,-16.022215478834145
0.7677,2.5944639412875516,-11.919727763273103
0.8026,5.375127891396163,-11.93653449042081
0.8375,10.708568004385096,-13.737372780286808
0.8724,9.263497864146597,-7.754885343801112
0.9073,4.868650300402523,0.8558999997783565
0.9422,5.57752127133618,0.23264804752734017
0.9771,4.470047831093544,-3.357338650160248
1.012,1.237838097746501,-2.281260311478296
1.0469,0.13139443532110506,0.7184021183646816
1.0817,0.1377707371290812,-1.6358850419493134
1.1166,0.24973518709180956,-2.6798918379310925
1.1515,0.012920104174737743,-0.33206468890996665
1.1864,0.1379666140375761,0.13711526126080656
1.2213,0.0191797319817199,2.8127947398704167
1.2562,0.0007376819992968002,5.3326449238922145
1.2911,0.0,3.2021846854705167
1.326,0.0,0.33145125040033946
1.3609,0.0110142998364134,-0.19009939881407983
1.3958,0.297386095583163,0.07552662744968332
1.4307,1.5203067154631609,2.213727660126047
1.4656,0.045126289704346,40.98425049515944
1.5005,1.8083248251366488,192.2554200621262
1.5354,2.915596055906693,512.5044311872887
1.6052,30.71488944352869,32.373842047109264
1.6401,17.20362350586793,-120.59962778922016
1.675,137.0493383423482,-101.01649109911459
1.7099,101.22644131113049,24.61488796552967
1.7448,204.70158920446852,-98.08880748167913
1.7796,22.352189300430283,-103.40321738932764
1.8145,126.11634022979237,-0.41495970658148446
1.8494,22.043405120273945,-51.42744859174379
1.8843,14.307799918890991,29.56060904266901
1.9192,7.315719929431322,-60.97025694585124
1.9541,24.43742613441828,13.601112956578245
1.989,12.202672871953183,-48.12124621330285
2.0239,13.536252974106429,-18.231940662203947
2.0588,4.5056486843630195,-51.69441084127891
2.0937,8.332987113242716,-17.437313033384836
2.1286,0.20321148991802154,-34.09346134766076
2.1635,13.553248104240852,-26.7115827651105
2.1984,5.921385945591254,-27.148860958619395
2.2333,17.432225764071728,-25.49981991343227
2.2682,3.1792627156598887,-23.055862577075107
2.3031,5.899047183149846,-2.290208180253519
2.338,6.694733879797417,-0.9475145804102763
2.3729,0.4199301517228627,-1.9605368163586816
