Tiempo (s),Aceleracion Normal (m/s^2),Aceleracion Tangencial (m/s^2)
0.0,2.9293170696204915e-28,3.3431565007596733e-13
0.0352,1.0415349580873043e-28,3.3431565007596733e-13
0.0704,4.166139832349216e-29,3.3431565007596733e-13
0.1056,0.00018539898908796938,2.6908332810992546e-13
0.1408,0.0050057727053756116,-3.261616098302126e-13
0.176,4.34016882064187e-14,0.010797800111009491
0.2112,1.2600490124444131e-14,0.19436040200473623
0.2464,7.000272291357849e-16,0.6586658067939715
0.2816,0.0,1.7708392182657595
0.3168,0.0,-0.6586658067939728
0.352,0.0,0.19436040200477983
0.3872,0.0,-0.010797800111374219
0.4224,0.0,-1.1827660063478227e-15
0.4576,0.0,0.010797800111375629
0.4928,0.0,-0.1943604020047785
0.528,0.0,0.6586658067939715
0.5632,0.0,-1.7708392182657595
0.5984,0.0,-0.6586658067939715
0.6336,0.0,-0.19436040200477694
0.6688,0.0,-0.010797800111376436
0.704,0.0,0.0
0.7392,0.0,0.0
0.7744,0.0,0.010876616170573861
0.8096,0.0,0.18490247489985506
0.8448,0.0,0.47857111150585496
0.88,0.000674862506961,2.2840893958227464
0.9152,0.0175464251809868,1.9795441430460716
0.9504,0.06728991448079073,-1.9794250513662774
0.9856,1.1614100048405311,-2.208445993691218
1.0208,0.03529484196458611,-0.0035440961725823456
1.056,0.1278002400043672,2.1905547482512
1.0912,0.0176745012772007,1.965077902098741
1.1264,0.0006797885106615,-1.9759974203819126
1.1616,0.0,-2.4403028251711056
1.1968,0.0,0.183562601893402
1.232,0.0,1.95440182015916
1.2672,0.0,-0.658665806793971
1.3024,0.0,2.7597873481449197e-15
1.3376,0.0,0.6694636069053524
1.3728,0.0,-1.7708392182657624
1.408,0.0,-0.6586658067939744
1.4432,0.0,-0.19436040200477694
1.4784,0.0,-0.010797800111376418
1.5136,0.0,0.0
1.5488,0.0,0.0
1.584,0.0,0.0
1.6192,0.0,0.0
1.6544,0.0,0.0
1.6896,0.0,0.0
1.7248,0.0,0.0
1.76,0.0,0.0
1.7952,0.0,0.0
1.8304,0.0,0.0
1.8656,0.0,0.0
1.9008,0.0,0.0
1.936,0.0,0.0
1.9712,0.0,0.0
2.0064,0.0,0.010797800111376384
2.0416,0.0,0.1835626018934011
2.0768,0.0,0.4751032049005682
2.112,0.0,2.267538023389067
2.1472,0.0,1.9651996202705302
2.1824,0.0040738050602685,-1.965199620270534
2.2176,0.10591893156698108,-2.267538023389085
2.2528,0.12467157925427085,-0.4172109215613826
2.288,0.06717268068182829,0.9398336231903909
2.3232,0.509581338654336,2.9873173302087648
2.3584,0.7883846175273831,12.495002101457686
2.3936,4.080454722547807,15.847863427234458
2.4288,6.839567204570361,7.149403474052393
2.464,0.8377391352280016,5.456286106781839
2.4992,3.3741725753113374,17.47206119007489
2.5344,2.292180227583582,26.015279776182265
2.5696,4.5957400897713,7.908831037211575
2.6048,8.297220098226981,-4.3655312140973
2.64,0.2738274484993896,7.004332975156622
2.6752,6.2313039117954565,10.520284266773862
2.7104,0.6976626240656039,16.000401641542002
2.7456,4.923633652114545,37.362699380903415
2.7808,0.6215640095457547,24.915464143211484
2.816,8.202399502438334,-25.594343701118873
2.8512,6.93861035891094,-38.90043124488537
2.8864,0.1843383280252389,-12.953974411147154
2.9216,3.903297687492843,-3.0064050695446767
2.9568,1.4235243774850497,-9.667679062225174
2.992,2.017956643231406,-14.697340880898185
3.0272,0.331718047700405,-19.808720264488695
3.0624,4.052005072306621,-20.4994563007812
3.0976,2.3910005781794696,-12.164929586267148
3.1328,2.846954282650091,-5.630248920748693
3.168,4.335819757848965,-5.789403871925466
3.2032,0.3020274631829333,-7.688486129805872
3.2384,1.6961987122300226,-5.128063414497151
3.2736,2.2342045898402176,-1.5837105870984938
3.3088,2.5387099632817938,0.47147451360260073
3.344,1.2178597233962438,3.9336062101667912
3.3792,16.046921131392388,2.5465854058093282
3.4144,28.16912142837329,1.7170917414277056
3.4496,2.617950890551276,138.16701109053338
3.4848,13.923140303292842,556.5129396317811
3.52,15.063217891937214,501.98667598519927
3.5552,99.5397932220364,-482.08568874866603
3.5904,24.663438283577296,-136.8385821899815
3.6256,168.61465266085418,12.652611034987824
3.6608,27.371411737224342,-72.45150560655712
3.696,0.6774281036859846,18.54499737394487
3.7312,3.6275130052699645,-74.88319796529754
3.7664,82.90439702835613,8.392294916010155
3.8016,26.38570974880599,-77.80153490879347
3.8368,16.819884905769527,8.518909764458042
3.872,8.856912014245927,-57.02067818462335
3.9072,6.217313424575872,-18.92491664068982
3.9424,7.176171916502548,-76.53969846789536
3.9776,28.557058442161807,-40.13784400116115
4.0128,12.414758966149558,-105.92083395289885
4.048,1.4475523739982488,-41.088737025943125
4.0832,2.933418441512986,-2.5772954751063146
4.1183,2.704694310911713,1.5770177747497356
4.1535,2.032497512821404,-16.301580862649786
4.1887,3.2722008847153923,-19.80967303549024
4.2239,20.35004222555301,-21.0568907648855
4.2591,2.8065541693962044,-8.459655322618403
4.2943,3.9210126821860682,-3.2030919192717184
4.3295,0.5425903587586541,-2.360670446613929
4.3647,1.437003236427034,0.30644849045410133
4.3999,0.487852526285402,0.7507163050929541
4.4351,0.5965333925192711,0.8635443034979373
4.4703,0.754033516101157,-1.4268426903171443
4.5055,2.0286978570650334,-2.112005379631817
4.5407,0.26440499530083794,2.3060985285120945
