Tiempo (s),Aceleracion Normal (m/s^2),Aceleracion Tangencial (m/s^2)
0.0,1.8363664387193241,-0.659233276156469
0.035,1.2025486428041487,-0.659233276156469
0.07,4.475189159228706,-0.659233276156469
0.105,2.780657344991731,-0.38592676115768487
0.14,2.8960594349462987,-1.428102255513778
0.1749,0.2743690516123066,-1.7023486510240884
0.2099,5.274445902752792,4.900480092975111
0.2449,5.737436072217416,24.67341836337361
0.2799,8.213137300976719,35.6658455886951
0.3149,7.188319247973154,23.019521897336187
0.3499,4.633305310868435,14.557816510439972
0.3849,2.4250360965887743,13.245321714784515
0.4199,4.668594981870843,22.37340588046641
0.4548,2.110271319301393,26.831834409680813
0.4898,10.261240240806302,14.392256755934543
0.5248,7.733255251033962,17.810247337600668
0.5598,2.649753734011799,23.80075516057026
0.5948,4.0792375203131535,2.4866329865789325
0.6298,0.6756865496561255,-16.899360969611656
0.6648,2.4702173042643,-8.294193272086359
0.6998,4.694849486705874,4.689802095654984
0.7348,14.473084731099512,-29.567186222317268
0.7697,36.0432701295651,-87.11724427018333
0.8047,18.62107378449797,-56.72313844988733
0.8397,5.403323511874134,0.8147810660240814
0.8747,2.6297605340567363,1.1932185670607092
0.9097,1.522216530273566,-1.774899440962507
0.9447,0.04783974675772064,-4.0987257203969385
0.9797,0.2713152694730887,-9.847144442102735
1.0147,0.8111185939358936,-10.07190663528051
1.0497,0.4637265418576879,-4.029996842333916
1.0846,0.03043908922509538,1.4173108323029393
1.1196,2.8466977226472965,-1.6640413134938157
1.1546,2.550968346007163,-1.2735145174693534
1.1896,1.7355923024242366,2.033426696102747
1.2246,1.5041792189335963,-0.1952842307876937
1.2596,6.53991249257388,-0.4593983958120539
1.2946,3.8201751900492353,22.949406743586145
1.3296,18.159052994133937,140.2326167257832
1.3645,19.550227108161682,706.7780997386176
1.3995,25.25133385275569,694.3294869415279
1.4345,68.06658891581299,-613.6493853923939
1.4695,7.555988598086035,-218.18992251080292
1.5045,367.70925620204514,-20.746426147303392
1.5395,47.23248956868952,-147.13572884133458
1.5745,42.287689117065625,-13.255703318190701
1.6095,1.468318325429587,-108.42586033865865
1.6445,238.54060177741357,-36.69841241257626
1.6794,39.671829003740754,-145.37688960888076
1.7144,112.62701257732994,43.14857122447979
1.7494,42.341213868714824,-34.67283987522939
1.7844,42.5691193278066,-48.13159979294355
1.8194,6.793112651841605,-89.96353852436357
1.8544,47.88466588773203,8.66529778645508
1.8894,22.01921741441928,-35.59011249603046
1.9244,26.578915736547376,-30.68959531451934
1.9593,13.99298503144101,-34.46592451695293
1.9943,12.66176291218196,-18.043768096773665
2.0293,10.44130018431576,-15.841561435020939
2.0643,5.868078342742789,1.3807292824451884
2.0993,3.9072360012773935,-2.435622571608521
2.1343,3.784175004817714,0.044179598296861224
2.1693,5.124723206074274,-1.9120417324554797
2.2043,3.0844574219896,-0.05701694082543853
2.2393,2.1347570211884563,1.497849962792779
2.2742,1.9011406277382257,0.7255222508101389
2.3092,3.0854240090477,-1.949893157516569
