Tiempo (s),velX (m/s),velY (m/s)
0.0,-1.185962088698115,-6.353207580115344e-15
0.0349,-1.185962088698115,-6.353207580115344e-15
0.0699,-1.185962088698115,-6.353207580115344e-15
0.1048,0.1178826895565446,0.0
0.1397,-0.03698065902579404,0.0
0.1746,0.0,0.0
0.2096,0.0,0.0
0.2445,0.0,-0.012339055793988073
0.2794,0.024623925501435728,0.0865866762177637
0.3143,-0.19699140401143478,0.3328259312320889
0.3493,-0.4302575107295893,0.22120886981401905
0.3842,-0.3077610872675259,-0.1348354792560836
0.4191,-0.09894340974212201,-0.11040472779369669
0.454,0.12356733524355765,0.0122671919770774
0.489,0.11105150214592438,0.012339055793994422
0.5239,0.0,-0.13564020028612137
0.5588,0.012177650429783774,0.08578080229226095
0.5937,-0.9625716332378252,0.46794412607449615
0.6287,-3.129738912732455,0.07331902718168871
0.6636,-4.571173104434904,-0.06160586552217394
0.6985,-4.76235673352436,0.420128939828081
0.7335,-4.818222460658078,0.6293812589413481
0.7684,-5.065003576537911,0.48050786838340975
0.8033,-4.972421203438401,0.4926575931232128
0.8382,-4.491493553008605,0.5553366762177625
0.8732,-4.509746065808314,-0.012249642346208917
0.9081,-4.7802217453504925,-0.4688841201716733
0.943,-4.405175501432659,-0.1977077363896822
0.9779,-5.4044591690544355,0.024713467048716638
1.0129,-6.80060801144494,-0.012339055793994433
1.0478,-5.273158082975681,0.09871244635192988
1.0827,-3.4426934097421094,0.23477793696274407
1.1176,-2.77668338108883,0.0
1.1526,-1.8733905579399044,-0.2467811158798247
1.1875,-0.9618204577968622,0.01233905579398806
1.2224,-0.2842944126074591,0.1359240687679099
1.2573,0.30900787965616205,-0.12356733524355118
1.2923,0.7151287553648104,-0.09880185979970904
1.3272,1.120976394849796,0.3702610872675301
1.3621,6.5520236389684765,-4.4409921203438385
1.3971,38.15942417739623,-3.5483726752503593
1.432,47.511534334764036,4.693848354792565
1.4669,-13.337661174785083,2.232987106017183
1.5018,-36.449140401146074,-4.577363896848127
1.5368,17.939645922746816,-3.3508583690987117
1.5717,28.99177396280398,4.768329756795419
1.6066,-18.656787249283642,4.51513252148997
1.6415,-18.076826647564502,-1.1353868194842498
1.6765,11.409066523605127,-0.935175250357662
1.7114,0.12347997138767881,0.382242489270394
1.7463,-3.7128402578796535,-0.27202722063037527
1.7812,13.696722779369663,-1.1968123209169117
1.8162,5.5565092989985745,0.037017167381976884
1.8511,-10.818758941344766,0.8742846924177405
1.886,-2.221794412607471,-0.14819126074498734
1.9209,8.155981375358165,-0.6292084527220687
1.9559,0.7892525035765369,0.25822603719599574
1.9908,-3.683673104434982,0.4431866952789526
2.0257,-1.4439111747851638,0.07430157593119945
