Tiempo (s),velX (m/s),velY (m/s)
0.0,0.20828571428574652,0.03085714285715468
0.035,0.20828571428574652,0.03085714285715468
0.07,0.20828571428574652,0.03085714285715468
0.105,-0.08485714285711513,0.22885714285717032
0.14,-0.11571428571429516,0.1028571428571442
0.1749,0.0128755364806821,-0.025751072961370552
0.2099,-0.11596924177396256,0.06437768240344229
0.2449,0.8620535714285765,0.5399999999999976
0.2799,2.457946428571452,0.797142857142852
0.3149,3.10160714285714,0.2570535714285718
0.3499,3.7307142857142694,0.32223214285714363
0.3849,4.076875000000005,0.2193749999999994
0.4199,4.785714285714272,-0.10303571428570253
0.4548,6.081723891273263,0.7218347639484963
0.4898,6.248837625178846,0.4643240343347522
0.5248,6.845089285714266,-0.2958035714285701
0.5598,8.053660714285707,-0.10285714285714428
0.5948,8.001339285714293,0.0
0.6298,7.281428571428572,0.12857142857142698
0.6648,6.805625000000001,0.0
0.6998,7.3466071428571365,-0.1671428571428547
0.7348,6.703124999999988,0.33428571428572157
0.7697,2.9497496423462373,0.5665236051502215
0.8047,-0.3606938483547971,0.29613733905578377
0.8397,-1.2599107142857446,0.20571428571427589
0.8747,-1.1321428571428567,0.10285714285714413
0.9097,-1.1458928571428582,-0.012857142857144623
0.9447,-1.0678571428571417,0.0
0.9797,-0.6041964285714124,0.0
1.0147,-0.30857142857142017,0.0
1.0497,0.012857142857138258,0.012857142857144602
1.0846,0.2446351931330613,-0.11587982832617691
1.1196,0.10300429184548243,-0.12875536480686575
1.1546,0.0,0.12857142857142698
1.1896,-0.10285714285713143,0.11571428571428238
1.2246,-0.23142857142859088,-0.012857142857144642
1.2596,-0.05142857142857841,0.0
1.2946,-0.2055357142856855,0.03857142857143381
1.3296,0.4375892857142978,-0.025535714285705585
1.3645,-25.63957439198857,-3.027181688125888
1.3995,-68.60684907010008,-4.947424892703864
1.4345,-33.32107142857138,-0.7729464285714377
1.4695,43.048214285714245,2.4822321428571446
1.5045,26.027232142857223,4.116785714285728
1.5395,-34.22196428571425,0.7978571428571352
1.5745,-18.436339285714286,-2.5854464285714243
1.6095,26.52866071428579,2.7787500000000076
1.6445,14.049196428571431,3.8082142857142824
1.6794,-16.968347639484964,-1.236140915593698
1.7144,-6.377771816881291,-2.9373211731044413
1.7494,15.464196428571393,-1.2991964285714288
1.7844,5.480267857142854,-0.25776785714286204
1.8194,-8.980000000000002,-0.695892857142861
1.8544,-1.0413392857142654,-1.4022321428571376
1.8894,6.072946428571408,-0.4105357142857151
1.9244,0.6305357142856843,0.4893749999999978
1.9593,-2.112571530758227,0.656562947067236
1.9943,-0.2959585121602323,0.605150214592276
2.0293,-0.05214285714284977,-0.42428571428570844
2.0643,-0.23303571428571096,-0.2442857142857165
2.0993,-0.1035714285714412,0.2571428571428611
2.1343,0.0,0.21857142857143216
2.1693,0.11651785714286816,0.11571428571428274
2.2043,0.12946428571429514,-0.11571428571428274
2.2393,-0.12946428571429433,-0.21857142857143216
2.2742,-0.14780042918465264,-0.14420600858373975
2.3092,0.023336909871180693,-0.12360515021463317
