Tiempo (s),velX (m/s),velY (m/s)
0.0,-0.6453710658082525,0.5362660944206005
0.0349,-0.9689654864091168,0.6057939914163066
0.0699,-0.03304721030037017,0.4104077253218932
0.1048,1.8512987303290747,-0.0861051502145873
0.1398,3.35158597103003,-0.11427038626609606
0.1747,4.093163224248912,0.21888970851215894
0.2097,5.994624016452068,0.09486207975679928
0.2446,9.766463251072977,0.3277729345493607
0.2796,10.822732251430624,0.8019659781831161
0.3145,8.463217542918454,0.5267513859084388
0.3495,7.259002816523621,0.24971499463519908
0.3844,7.16652695815451,0.3266217364091568
0.4194,6.622412598354776,0.2575163179542088
0.4543,5.987728004291851,0.191523605150213
0.4893,5.348173659874332,0.20679485839370487
0.5242,4.514148076867881,0.20617460063701615
0.5591,3.544548649113961,0.2053698796069621
0.5941,2.668379981405091,0.21967039487437406
0.629,1.8305615164520743,0.1697961373390563
0.664,1.0792929631616541,0.02333690987124339
0.6989,0.5793097281831064,0.023336909871243074
0.7339,0.2309605239627917,0.1689914163090159
0.7688,-0.0008103093705292691,0.23417381974249374
0.8038,-0.21878911838339363,0.1537017167382034
0.8387,-0.7342520565092896,0.06194675429184612
0.8737,0.97072268419174,0.5660094778254572
0.9086,-5.909329175607992,-1.2900236945636645
0.9436,-45.62955142310855,-5.077580737268955
0.9785,-73.05399986190871,-5.302365728670917
1.0134,-17.482100273210577,-0.8033101582131197
1.0484,45.49760008797878,8.8195267376953
1.0833,15.914252503576614,9.029495261087284
1.1183,-35.63013009656647,-3.9685097013590926
1.1532,-18.67273560443487,-4.213731670243205
1.1882,24.800540951359054,5.211429273962804
1.2231,22.91402896995706,3.7549847997138732
1.2581,-9.87108816165953,-3.255638635550794
1.293,-13.632901913447808,-4.5364192149499285
1.328,11.052044214949916,-1.8331936248211673
1.3629,14.628727423104444,-0.9334037464234628
1.3979,-4.0422310890557736,-0.6770274499284742
1.4328,-7.545829980329042,-0.2828035586552262
1.4678,2.2092569627199703,0.17140235289310157
1.5027,2.9175971173514443,1.2872920929177363
1.5376,-0.4628515146228026,1.0423048343340469
1.5726,-0.0627666871369651,0.013788797814424963
1.6075,0.3133941344778237,-0.47970873569384626
1.6425,0.03289297210300656,-0.47156093526467047
1.6774,-0.07966179363376502,0.09656652360515128
1.7124,-0.04989270386266878,0.39189914163090545
1.7473,-0.049087982832625894,0.280042918454933
1.7823,-0.0965665236051506,0.1319742489270422
1.8172,0.13197424892704857,-0.18025751072961035
1.8522,0.1963519313304876,-0.39109442060086175
1.8871,0.04989270386266849,-0.21003218884120398
1.9221,-0.06356143241881124,0.246203130956625
1.957,-0.1457582670290427,0.5234422076564585
1.9919,-0.00090848162130866,0.2474228943517367
2.0269,0.16095573496317522,-0.22536339264852423
2.0618,-0.00016094420600466786,-0.3254291845493561
2.0968,-0.15675965665239544,-0.09383047210302124
2.1317,-0.13390557939918984,-0.0508583690987362
2.1667,0.08755364806859833,-0.04313304721033884
